"Registration Number","Student Name","1(a)","2(a)","3(a)","4(a)","5(a)","1(a)","2(a)","3(a)","4(a)","1(a)","2(a)","3(a)"
"MAX MARKS","","2","2","2","2","2","5","5","5","5","10","10","10"
"BCA25S001","Aarav Patel","","","","","","","","","","","",""
"BCA25S001","Aarav Patel","","","","","","","","","","","",""
"BCA25S002","Ananya Desai","","","","","","","","","","","",""
"BCA25S002","Ananya Desai","","","","","","","","","","","",""
"BCA25S003","Advait Kulkarni","","","","","","","","","","","",""
"BCA25S003","Advait Kulkarni","","","","","","","","","","","",""
"BCA25S004","Isha Bose","","","","","","","","","","","",""
"BCA25S004","Isha Bose","","","","","","","","","","","",""
"BCA25S005","Reyansh Iyer","","","","","","","","","","","",""
"BCA25S005","Reyansh Iyer","","","","","","","","","","","",""
"BCA25S006","Diya Dutta","","","","","","","","","","","",""
"BCA25S006","Diya Dutta","","","","","","","","","","","",""
"BCA25S007","Vihaan Desai","","","","","","","","","","","",""
"BCA25S007","Vihaan Desai","","","","","","","","","","","",""
"BCA25S008","Saisha Malhotra","","","","","","","","","","","",""
"BCA25S008","Saisha Malhotra","","","","","","","","","","","",""
"BCA25S009","Arjun Jain","","","","","","","","","","","",""
"BCA25S009","Arjun Jain","","","","","","","","","","","",""
"BCA25S010","Myra Gupta","","","","","","","","","","","",""
"BCA25S010","Myra Gupta","","","","","","","","","","","",""
"BCA25S011","Kartik Reddy","","","","","","","","","","","",""
"BCA25S011","Kartik Reddy","","","","","","","","","","","",""
"BCA25S012","Kavya Singh","","","","","","","","","","","",""
"BCA25S012","Kavya Singh","","","","","","","","","","","",""
"BCA25S013","Krish Nair","","","","","","","","","","","",""
"BCA25S013","Krish Nair","","","","","","","","","","","",""
"BCA25S014","Zoya Reddy","","","","","","","","","","","",""
"BCA25S014","Zoya Reddy","","","","","","","","","","","",""
"BCA25S015","Aryan Bose","","","","","","","","","","","",""
"BCA25S015","Aryan Bose","","","","","","","","","","","",""
"BCA25S016","Sanya Bose","","","","","","","","","","","",""
"BCA25S016","Sanya Bose","","","","","","","","","","","",""
"BCA25S017","Vivaan Nair","","","","","","","","","","","",""
"BCA25S017","Vivaan Nair","","","","","","","","","","","",""
"BCA25S018","Aavya Iyer","","","","","","","","","","","",""
"BCA25S018","Aavya Iyer","","","","","","","","","","","",""
"BCA25S019","Kabir Reddy","","","","","","","","","","","",""
"BCA25S019","Kabir Reddy","","","","","","","","","","","",""
"BCA25S020","Kiara Gupta","","","","","","","","","","","",""
"BCA25S020","Kiara Gupta","","","","","","","","","","","",""
"BCA25S021","Ishaan Kulkarni","","","","","","","","","","","",""
"BCA25S021","Ishaan Kulkarni","","","","","","","","","","","",""
"BCA25S022","Navya Dutta","","","","","","","","","","","",""
"BCA25S022","Navya Dutta","","","","","","","","","","","",""
"BCA25S023","Rohan Desai","","","","","","","","","","","",""
"BCA25S023","Rohan Desai","","","","","","","","","","","",""
"BCA25S024","Tanvi Kulkarni","","","","","","","","","","","",""
"BCA25S024","Tanvi Kulkarni","","","","","","","","","","","",""
"BCA25S025","Shaurya Gupta","","","","","","","","","","","",""
"BCA25S025","Shaurya Gupta","","","","","","","","","","","",""
